,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj.IHW,log2fc.shrunk
yggW,207.761203763353,-1.0913517097956,0.17480014656732,-6.24342559904717,4.28089985826547e-10,1.10117471354166e-08,9.73556393709889e-09,-1.00689218729677
hycF,190.817182075814,-1.13584688673993,0.182528750833786,-6.22283821891848,4.88240766533331e-10,1.247471542411e-08,1.10289846029907e-08,-1.04227501678848
gabT,514.4004694836,-0.770415805819289,0.12399962988704,-6.21304923668818,5.19661571258112e-10,1.31890106785309e-08,1.17260335624927e-08,-0.735476691051616
pepQ,189.231044222337,1.17799929379197,0.190042534046059,6.19860864150795,5.69644790571532e-10,1.43618391901048e-08,1.27687673068932e-08,1.07523171140295
arsR,48.163155930159,-2.37301558159752,0.384137792617042,-6.1775113701537,6.51198871710775e-10,1.63099612144929e-08,1.45007959479035e-08,-2.10546528465988
csiD,335.845675792093,-0.893954907808381,0.145227925243217,-6.15553039342297,7.48266433298938e-10,1.86186294873795e-08,1.64679016798221e-08,-0.841361741569482
mltA,521.940214383338,-0.696063263057643,0.113194683931473,-6.14925753473574,7.78464905703913e-10,1.92442590650312e-08,1.70412172505817e-08,-0.668973888601279
yagA,91.1936499991157,-1.58722140632675,0.263619312353316,-6.02088440394488,1.73466614393331e-09,4.25568589859465e-08,3.14478184803393e-08,-1.38152330911333
sdhA,40.8315352174941,-2.62226899314725,0.435665616662106,-6.01899459782486,1.75503726314516e-09,4.25568589859465e-08,3.76850403557332e-08,-2.35636558472354
lpxM,49.6174302594525,2.35080413676741,0.390525130962062,6.01959758895972,1.74851214209999e-09,4.25568589859465e-08,3.76850403557332e-08,2.0620034877899
insO,273.917136705466,-0.911981048372096,0.151568583080819,-6.01695305079029,1.7773060052475e-09,4.28240757087166e-08,3.80738602221734e-08,-0.854176960027258
ydgJ,55.1070316656976,-2.07924374842808,0.347883321290198,-5.97684229504527,2.27504241792567e-09,5.37955682300809e-08,4.02067244929002e-08,-1.78512588283637
htpG,197.383564261782,1.08591672333944,0.181529645695139,5.98203516115008,2.20366685451526e-09,5.27632686486767e-08,4.63568285836397e-08,0.995499469952911
fhuA,273.211023522866,-0.90766745101611,0.151853263112869,-5.97726668765402,2.26912566231193e-09,5.37955682300809e-08,4.75132750049343e-08,-0.849844866117371
ygbM,363.284358723553,-0.804353859315557,0.134665879112504,-5.97295962879782,2.32987571511344e-09,5.47520793051659e-08,4.86787625848029e-08,-0.762108305505268
aroF,444.294878825591,-0.755809882853448,0.127462087350896,-5.9296838657031,3.03518471927867e-09,7.08892529220484e-08,6.26736925384061e-08,-0.719521331992291
maoP,40.2212892956229,2.64414051123936,0.446226118326876,5.92556195758679,3.11231208457766e-09,7.22473908901656e-08,6.42334251620285e-08,2.36661062246337
yghJ,1400.57902698218,-0.473392792228022,0.0799401532305626,-5.92183994021962,3.18359406170389e-09,7.34541975327679e-08,6.50453173537658e-08,-0.463475899794155
deaD,101.837088915781,1.50879003349238,0.256336343010616,5.88597783588529,3.9570734558695e-09,9.07504737740674e-08,8.03615527078019e-08,1.3139869482379
ygcQ,287.380000722695,-0.877356565789982,0.149310303290287,-5.87606177508217,4.20141593725308e-09,9.53451826288606e-08,8.42953538764238e-08,-0.822649407821623
dtpB,128.739202006426,1.31848171767822,0.224391035789738,5.87582170133428,4.20751002932718e-09,9.53451826288606e-08,8.42953538764238e-08,1.17149040921999
hycB,216.239756368628,-1.02659025996838,0.175251669533229,-5.85780587827,4.69022424938109e-09,1.05033433631728e-07,9.28949695720497e-08,-0.944654941127062
yicR,152.170887709864,-1.19304467297695,0.203660387227682,-5.85801043205905,4.68445232087617e-09,1.05033433631728e-07,9.28949695720497e-08,-1.07537270895825
yqaE,122.020262705283,-1.33628364675231,0.23055111061967,-5.7960408135128,6.78987462247712e-09,1.51164050805675e-07,1.3439633770826e-07,-1.18096743353128
hemN,126.933078505127,1.31192275772234,0.227664892626651,5.76251675252262,8.28688145545698e-09,1.82359293068929e-07,1.62231846793529e-07,1.16119437189989
